Time, Acc, GYR, Mag
1.444471	-78 	 145 	 1273	8 	 6 	 -124	-14 	 1 	 498
1.453598	-87 	 146 	 1272	15 	 3 	 -126	-11 	 1 	 504
1.462371	-80 	 128 	 1290	10 	 3 	 -125	-14 	 2 	 498
1.471279	-80 	 145 	 1270	8 	 -1 	 -123	-14 	 3 	 490
1.480267	-70 	 130 	 1288	9 	 -2 	 -126	-14 	 3 	 487
1.489146	-78 	 149 	 1269	15 	 0 	 -125	-14 	 0 	 487
1.498014	-81 	 148 	 1510	14 	 -2 	 -118	-11 	 -1 	 497
1.507151	-70 	 137 	 1274	6 	 -5 	 -123	-17 	 4 	 496
1.516163	-77 	 141 	 1266	9 	 -2 	 -122	-12 	 1 	 496
1.525199	-76 	 147 	 1282	12 	 0 	 -123	-12 	 1 	 493
1.534036	-74 	 142 	 1270	16 	 1 	 -126	-11 	 0 	 493
1.543136	-63 	 144 	 1278	9 	 -3 	 -127	-16 	 2 	 490
1.552021	-72 	 133 	 1271	13 	 9 	 -122	-14 	 -4 	 497
1.560887	-80 	 148 	 1273	12 	 -5 	 -122	-13 	 0 	 506
1.569722	-71 	 136 	 1256	16 	 4 	 -123	-13 	 0 	 496
1.578672	-80 	 146 	 1293	16 	 8 	 -124	-13 	 3 	 496
1.587394	-80 	 140 	 1286	12 	 -252 	 -130	-15 	 0 	 510
1.596266	-84 	 136 	 1267	7 	 1 	 -130	-9 	 4 	 486
1.605351	-87 	 139 	 1295	18 	 3 	 -127	-8 	 1 	 485
1.61444	-75 	 138 	 1269	4 	 5 	 -126	-8 	 -1 	 501
1.623613	-70 	 138 	 1279	5 	 3 	 -123	-13 	 -1 	 501
1.632542	-83 	 131 	 1281	9 	 5 	 -128	-5 	 2 	 494
1.641425	-75 	 139 	 1276	10 	 6 	 -123	-10 	 1 	 488
1.650295	-79 	 153 	 1273	7 	 7 	 -124	-13 	 -4 	 492
1.659027	-86 	 142 	 1279	10 	 5 	 -122	-13 	 -1 	 500
1.667984	-86 	 140 	 1259	1 	 2 	 -125	-11 	 -1 	 500
1.677171	-68 	 135 	 1276	4 	 6 	 -124	-12 	 3 	 497
1.686212	-78 	 140 	 1282	14 	 -4 	 -122	-10 	 -2 	 497
1.695058	-68 	 147 	 1271	14 	 7 	 -125	-9 	 0 	 490
1.703587	-77 	 137 	 1261	13 	 6 	 -124	-9 	 -2 	 492
1.712494	-73 	 138 	 1272	3 	 5 	 -123	-10 	 -2 	 492
1.721534	-65 	 133 	 1272	8 	 5 	 -125	-14 	 1 	 495
1.730615	-83 	 138 	 1276	12 	 9 	 -123	-13 	 1 	 491
1.739627	-77 	 153 	 1274	8 	 6 	 -130	-12 	 -1 	 488
1.748542	-82 	 140 	 1265	10 	 -1 	 -129	-12 	 -1 	 493
1.757455	-72 	 149 	 1268	7 	 1 	 -124	-12 	 -1 	 493
1.766511	-77 	 144 	 1261	6 	 -3 	 -125	-11 	 -2 	 486
1.775366	-84 	 142 	 1278	7 	 -3 	 -125	-11 	 2 	 495
1.784502	-57 	 135 	 1296	16 	 5 	 -124	-14 	 3 	 496
1.793563	-91 	 133 	 1275	6 	 4 	 -122	-10 	 2 	 500
1.802394	-71 	 139 	 1275	8 	 2 	 -120	-10 	 2 	 493
1.81135	-80 	 146 	 1273	12 	 4 	 -128	-9 	 -2 	 493
1.820349	-69 	 145 	 1279	6 	 3 	 -125	-13 	 -1 	 486
1.82955	-64 	 159 	 1277	9 	 3 	 -124	-13 	 4 	 492
1.838375	-72 	 136 	 1270	8 	 4 	 -128	-10 	 2 	 490
1.847209	-78 	 148 	 1276	12 	 1 	 -124	-10 	 2 	 492
1.856191	-81 	 135 	 1271	5 	 -3 	 -126	-12 	 1 	 492
1.865154	-66 	 141 	 1262	14 	 0 	 -125	-11 	 -3 	 490
1.873891	-71 	 142 	 1286	10 	 -1 	 -124	-14 	 0 	 495
1.882616	-67 	 149 	 1285	11 	 3 	 -126	-12 	 2 	 498
1.891599	-71 	 139 	 1268	19 	 3 	 -125	-12 	 2 	 493
1.900607	-84 	 135 	 1283	6 	 4 	 -122	-9 	 0 	 493
1.909474	-82 	 137 	 1024	11 	 1 	 -122	-12 	 -1 	 504
1.918378	-69 	 130 	 1279	3 	 0 	 -124	-12 	 2 	 495
1.927294	-85 	 134 	 1262	6 	 -1 	 -126	-11 	 1 	 498
1.936257	-72 	 133 	 1282	5 	 0 	 -121	-11 	 1 	 496
1.945168	-58 	 132 	 1249	10 	 4 	 -125	-8 	 4 	 496
1.954272	-73 	 149 	 1274	10 	 4 	 -130	-11 	 3 	 491
1.963955	-71 	 140 	 1277	11 	 0 	 -124	-11 	 1 	 495
1.97261	-91 	 137 	 1287	14 	 -2 	 -124	-13 	 1 	 489
1.981555	-71 	 130 	 1274	14 	 3 	 -126	-13 	 0 	 501
1.990479	-89 	 139 	 1291	13 	 -3 	 -131	-15 	 0 	 501
1.999404	-76 	 141 	 1274	6 	 -1 	 -131	-9 	 2 	 487
2.008371	-86 	 143 	 1275	10 	 -2 	 -126	-13 	 -1 	 493
2.017335	-78 	 131 	 1289	10 	 3 	 -124	-11 	 0 	 491
2.026196	-74 	 150 	 1261	11 	 6 	 -125	-11 	 0 	 488
2.034925	-88 	 139 	 1301	5 	 1 	 -127	-11 	 0 	 488
2.043753	-70 	 150 	 1274	12 	 0 	 -122	-11 	 2 	 497
2.052781	-64 	 137 	 1270	11 	 3 	 -123	-13 	 -1 	 497
2.06172	-90 	 143 	 1275	11 	 0 	 -118	-14 	 1 	 502
2.070766	-71 	 151 	 1269	5 	 7 	 -125	-14 	 4 	 495
2.079818	-73 	 138 	 1259	7 	 6 	 -121	-11 	 4 	 495
2.088751	-85 	 144 	 1275	252 	 1 	 -128	-11 	 4 	 495
2.097723	-76 	 144 	 1272	10 	 3 	 -127	-13 	 5 	 491
2.106659	-81 	 143 	 1281	15 	 2 	 -124	-9 	 -2 	 495
2.115367	-70 	 139 	 1279	12 	 6 	 -125	-9 	 0 	 492
2.124596	-73 	 143 	 1268	11 	 9 	 -125	-12 	 0 	 492
2.133493	-75 	 141 	 1274	11 	 7 	 -125	-13 	 3 	 495
2.142353	-70 	 137 	 1270	4 	 5 	 -123	-10 	 2 	 497
2.15133	-70 	 135 	 1270	9 	 7 	 -127	-13 	 0 	 499
2.160263	-72 	 147 	 1029	15 	 3 	 -123	-13 	 1 	 498
2.169115	-65 	 152 	 1263	2 	 5 	 -125	-11 	 1 	 498
2.178113	-66 	 145 	 1278	11 	 3 	 -124	-12 	 1 	 489
